date,region,product,revenue,units_sold,campaign_id,ad_spend
2024-01-01,North,ProductA,15000,120,C001,3000
2024-01-01,South,ProductB,8000,80,C002,2000
2024-01-02,North,ProductA,17000,140,C001,3200
2024-01-02,East,ProductC,5000,50,C003,1500
2024-01-03,South,ProductB,9500,95,C002,2100
2024-01-03,West,ProductA,12000,100,C001,2800
2024-01-04,North,ProductC,6000,60,C003,1600
2024-01-04,East,ProductB,11000,110,C002,2400
2024-01-05,South,ProductA,14000,115,C001,2900
2024-01-05,West,ProductC,4500,45,C003,1400
2024-01-06,North,ProductB,10000,100,C002,2200
2024-01-06,South,ProductC,5500,55,C003,1500
2024-01-07,East,ProductA,16000,130,C001,3100
2024-01-07,West,ProductB,8500,85,C002,2000
2024-01-08,North,ProductC,7000,70,C003,1700
2024-01-08,South,ProductA,15500,125,C001,3000
2024-01-09,East,ProductB,10500,105,C002,2300
2024-01-09,West,ProductC,4000,40,C003,1300
2024-01-10,North,ProductA,18000,150,C001,3300
2024-01-10,South,ProductB,9000,90,C002,2100
2024-01-11,East,ProductC,5200,52,C003,1550
2024-01-11,West,ProductA,13000,110,C001,2900
2024-01-12,North,ProductB,11500,115,C002,2450
2024-01-12,South,ProductC,6500,65,C003,1650
2024-01-13,East,ProductA,16500,135,C001,3150
2024-01-13,West,ProductB,8800,88,C002,2050
2024-01-14,North,ProductC,7500,75,C003,1750
2024-01-14,South,ProductA,14500,120,C001,2950
2024-01-15,East,ProductB,45000,450,C002,2420
2024-01-15,West,ProductC,4800,48,C003,1450
2024-01-16,North,ProductA,17500,145,C001,3250
2024-01-16,South,ProductB,9200,92,C002,2150
2024-01-17,East,ProductC,5400,54,C003,1580
2024-01-17,West,ProductA,12500,105,C001,2850
2024-01-18,North,ProductB,10800,108,C002,2350
2024-01-18,South,ProductC,5800,58,C003,1520
2024-01-19,East,ProductA,15800,128,C001,3050
2024-01-19,West,ProductB,8200,82,C002,1950
2024-01-20,North,ProductC,6200,62,C003,1620
2024-01-20,South,ProductA,14800,122,C001,2980
